knot_id,pd_code,dt_code,phase_vector
K_3_1,"[[5, 2, 0, 3], [3, 0, 4, 1], [1, 4, 2, 5]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_3_1_mirror,"[[1, 4, 2, 5], [3, 0, 4, 1], [5, 2, 0, 3]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_4_1,"[[7, 4, 0, 5], [3, 0, 4, 1], [1, 7, 2, 6], [5, 3, 6, 2]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_4_1_mirror,"[[5, 3, 6, 2], [1, 7, 2, 6], [3, 0, 4, 1], [7, 4, 0, 5]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_5_1,"[[9, 4, 0, 5], [5, 0, 6, 1], [1, 6, 2, 7], [7, 2, 8, 3], [3, 8, 4, 9]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_5_1_mirror,"[[3, 8, 4, 9], [7, 2, 8, 3], [1, 6, 2, 7], [5, 0, 6, 1], [9, 4, 0, 5]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_5_2,"[[4, 0, 5, 9], [0, 6, 1, 5], [8, 2, 9, 1], [2, 8, 3, 7], [6, 4, 7, 3]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_5_2_mirror,"[[6, 4, 7, 3], [2, 8, 3, 7], [8, 2, 9, 1], [0, 6, 1, 5], [4, 0, 5, 9]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_6_1,"[[6, 11, 7, 0], [0, 5, 1, 6], [10, 2, 11, 1], [2, 10, 3, 9], [8, 4, 9, 3], [4, 8, 5, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_6_1_mirror,"[[4, 8, 5, 7], [8, 4, 9, 3], [2, 10, 3, 9], [10, 2, 11, 1], [0, 5, 1, 6], [6, 11, 7, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_6_2,"[[11, 7, 0, 6], [7, 1, 8, 0], [1, 9, 2, 8], [5, 3, 6, 2], [3, 10, 4, 11], [9, 4, 10, 5]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_6_2_mirror,"[[9, 4, 10, 5], [3, 10, 4, 11], [5, 3, 6, 2], [1, 9, 2, 8], [7, 1, 8, 0], [11, 7, 0, 6]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_6_3,"[[8, 11, 9, 0], [0, 4, 1, 3], [6, 2, 7, 1], [2, 8, 3, 7], [4, 9, 5, 10], [10, 5, 11, 6]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_6_3_mirror,"[[10, 5, 11, 6], [4, 9, 5, 10], [2, 8, 3, 7], [6, 2, 7, 1], [0, 4, 1, 3], [8, 11, 9, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_1,"[[13, 6, 0, 7], [7, 0, 8, 1], [1, 8, 2, 9], [9, 2, 10, 3], [3, 10, 4, 11], [11, 4, 12, 5], [5, 12, 6, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_1_mirror,"[[5, 12, 6, 13], [11, 4, 12, 5], [3, 10, 4, 11], [9, 2, 10, 3], [1, 8, 2, 9], [7, 0, 8, 1], [13, 6, 0, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_2,"[[13, 10, 0, 11], [9, 0, 10, 1], [1, 8, 2, 9], [7, 2, 8, 3], [3, 6, 4, 7], [11, 4, 12, 5], [5, 12, 6, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_2_mirror,"[[5, 12, 6, 13], [11, 4, 12, 5], [3, 6, 4, 7], [7, 2, 8, 3], [1, 8, 2, 9], [9, 0, 10, 1], [13, 10, 0, 11]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_3,"[[13, 8, 0, 9], [7, 0, 8, 1], [1, 6, 2, 7], [9, 2, 10, 3], [3, 10, 4, 11], [11, 4, 12, 5], [5, 12, 6, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_3_mirror,"[[5, 12, 6, 13], [11, 4, 12, 5], [3, 10, 4, 11], [9, 2, 10, 3], [1, 6, 2, 7], [7, 0, 8, 1], [13, 8, 0, 9]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_4,"[[13, 7, 0, 6], [5, 1, 6, 0], [1, 11, 2, 10], [9, 3, 10, 2], [3, 9, 4, 8], [11, 5, 12, 4], [7, 13, 8, 12]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_4_mirror,"[[7, 13, 8, 12], [11, 5, 12, 4], [3, 9, 4, 8], [9, 3, 10, 2], [1, 11, 2, 10], [5, 1, 6, 0], [13, 7, 0, 6]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_5,"[[13, 4, 0, 5], [3, 0, 4, 1], [1, 8, 2, 9], [9, 2, 10, 3], [5, 10, 6, 11], [11, 6, 12, 7], [7, 12, 8, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_5_mirror,"[[7, 12, 8, 13], [11, 6, 12, 7], [5, 10, 6, 11], [9, 2, 10, 3], [1, 8, 2, 9], [3, 0, 4, 1], [13, 4, 0, 5]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_6,"[[8, 13, 9, 0], [0, 7, 1, 8], [12, 2, 13, 1], [2, 12, 3, 11], [6, 3, 7, 4], [4, 9, 5, 10], [10, 5, 11, 6]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_6_mirror,"[[10, 5, 11, 6], [4, 9, 5, 10], [6, 3, 7, 4], [2, 12, 3, 11], [12, 2, 13, 1], [0, 7, 1, 8], [8, 13, 9, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_7,"[[6, 13, 7, 0], [0, 5, 1, 6], [10, 1, 11, 2], [2, 9, 3, 10], [12, 4, 13, 3], [4, 8, 5, 7], [8, 12, 9, 11]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_7_7_mirror,"[[8, 12, 9, 11], [4, 8, 5, 7], [12, 4, 13, 3], [2, 9, 3, 10], [10, 1, 11, 2], [0, 5, 1, 6], [6, 13, 7, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_1,"[[15, 13, 0, 12], [11, 1, 12, 0], [1, 11, 2, 10], [9, 3, 10, 2], [3, 9, 4, 8], [7, 5, 8, 4], [5, 14, 6, 15], [13, 6, 14, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_1_mirror,"[[13, 6, 14, 7], [5, 14, 6, 15], [7, 5, 8, 4], [3, 9, 4, 8], [9, 3, 10, 2], [1, 11, 2, 10], [11, 1, 12, 0], [15, 13, 0, 12]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_2,"[[8, 15, 9, 0], [0, 9, 1, 10], [10, 1, 11, 2], [2, 11, 3, 12], [12, 3, 13, 4], [4, 7, 5, 8], [14, 6, 15, 5], [6, 14, 7, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_2_mirror,"[[6, 14, 7, 13], [14, 6, 15, 5], [4, 7, 5, 8], [12, 3, 13, 4], [2, 11, 3, 12], [10, 1, 11, 2], [0, 9, 1, 10], [8, 15, 9, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_3,"[[15, 11, 0, 10], [9, 1, 10, 0], [1, 9, 2, 8], [7, 3, 8, 2], [3, 14, 4, 15], [13, 4, 14, 5], [5, 12, 6, 13], [11, 6, 12, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_3_mirror,"[[11, 6, 12, 7], [5, 12, 6, 13], [13, 4, 14, 5], [3, 14, 4, 15], [7, 3, 8, 2], [1, 9, 2, 8], [9, 1, 10, 0], [15, 11, 0, 10]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_4,"[[15, 7, 0, 6], [7, 1, 8, 0], [1, 9, 2, 8], [13, 2, 14, 3], [3, 12, 4, 13], [11, 4, 12, 5], [5, 10, 6, 11], [9, 15, 10, 14]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_4_mirror,"[[9, 15, 10, 14], [5, 10, 6, 11], [11, 4, 12, 5], [3, 12, 4, 13], [13, 2, 14, 3], [1, 9, 2, 8], [7, 1, 8, 0], [15, 7, 0, 6]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_5,"[[10, 0, 11, 15], [0, 12, 1, 11], [12, 2, 13, 1], [2, 8, 3, 7], [8, 4, 9, 3], [4, 10, 5, 9], [14, 5, 15, 6], [6, 13, 7, 14]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_5_mirror,"[[6, 13, 7, 14], [14, 5, 15, 6], [4, 10, 5, 9], [8, 4, 9, 3], [2, 8, 3, 7], [12, 2, 13, 1], [0, 12, 1, 11], [10, 0, 11, 15]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_6,"[[10, 15, 11, 0], [0, 11, 1, 12], [12, 1, 13, 2], [2, 9, 3, 10], [8, 3, 9, 4], [4, 7, 5, 8], [14, 6, 15, 5], [6, 14, 7, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_6_mirror,"[[6, 14, 7, 13], [14, 6, 15, 5], [4, 7, 5, 8], [8, 3, 9, 4], [2, 9, 3, 10], [12, 1, 13, 2], [0, 11, 1, 12], [10, 15, 11, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_7,"[[15, 6, 0, 7], [7, 0, 8, 1], [1, 8, 2, 9], [9, 2, 10, 3], [3, 13, 4, 12], [13, 5, 14, 4], [5, 10, 6, 11], [11, 15, 12, 14]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_7_mirror,"[[11, 15, 12, 14], [5, 10, 6, 11], [13, 5, 14, 4], [3, 13, 4, 12], [9, 2, 10, 3], [1, 8, 2, 9], [7, 0, 8, 1], [15, 6, 0, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_8,"[[4, 15, 5, 0], [0, 5, 1, 6], [10, 2, 11, 1], [2, 12, 3, 11], [6, 3, 7, 4], [14, 8, 15, 7], [8, 14, 9, 13], [12, 10, 13, 9]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_8_mirror,"[[12, 10, 13, 9], [8, 14, 9, 13], [14, 8, 15, 7], [6, 3, 7, 4], [2, 12, 3, 11], [10, 2, 11, 1], [0, 5, 1, 6], [4, 15, 5, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_9,"[[15, 6, 0, 7], [7, 0, 8, 1], [1, 8, 2, 9], [13, 3, 14, 2], [3, 11, 4, 10], [11, 5, 12, 4], [5, 13, 6, 12], [9, 14, 10, 15]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_9_mirror,"[[9, 14, 10, 15], [5, 13, 6, 12], [11, 5, 12, 4], [3, 11, 4, 10], [13, 3, 14, 2], [1, 8, 2, 9], [7, 0, 8, 1], [15, 6, 0, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_10,"[[15, 9, 0, 8], [3, 0, 4, 1], [1, 12, 2, 13], [13, 2, 14, 3], [9, 5, 10, 4], [5, 11, 6, 10], [11, 7, 12, 6], [7, 15, 8, 14]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_10_mirror,"[[7, 15, 8, 14], [11, 7, 12, 6], [5, 11, 6, 10], [9, 5, 10, 4], [13, 2, 14, 3], [1, 12, 2, 13], [3, 0, 4, 1], [15, 9, 0, 8]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_11,"[[10, 15, 11, 0], [0, 9, 1, 10], [8, 1, 9, 2], [2, 11, 3, 12], [12, 3, 13, 4], [4, 7, 5, 8], [14, 6, 15, 5], [6, 14, 7, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_11_mirror,"[[6, 14, 7, 13], [14, 6, 15, 5], [4, 7, 5, 8], [12, 3, 13, 4], [2, 11, 3, 12], [8, 1, 9, 2], [0, 9, 1, 10], [10, 15, 11, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_12,"[[15, 11, 0, 10], [9, 1, 10, 0], [1, 7, 2, 6], [5, 3, 6, 2], [3, 14, 4, 15], [13, 4, 14, 5], [7, 12, 8, 13], [11, 8, 12, 9]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_12_mirror,"[[11, 8, 12, 9], [7, 12, 8, 13], [13, 4, 14, 5], [3, 14, 4, 15], [5, 3, 6, 2], [1, 7, 2, 6], [9, 1, 10, 0], [15, 11, 0, 10]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_13,"[[15, 6, 0, 7], [7, 0, 8, 1], [1, 13, 2, 12], [11, 3, 12, 2], [3, 11, 4, 10], [13, 5, 14, 4], [5, 8, 6, 9], [9, 15, 10, 14]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_13_mirror,"[[9, 15, 10, 14], [5, 8, 6, 9], [13, 5, 14, 4], [3, 11, 4, 10], [11, 3, 12, 2], [1, 13, 2, 12], [7, 0, 8, 1], [15, 6, 0, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_14,"[[8, 0, 9, 15], [0, 10, 1, 9], [12, 2, 13, 1], [2, 6, 3, 5], [14, 3, 15, 4], [4, 13, 5, 14], [6, 12, 7, 11], [10, 8, 11, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_14_mirror,"[[10, 8, 11, 7], [6, 12, 7, 11], [4, 13, 5, 14], [14, 3, 15, 4], [2, 6, 3, 5], [12, 2, 13, 1], [0, 10, 1, 9], [8, 0, 9, 15]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_15,"[[10, 15, 11, 0], [0, 9, 1, 10], [4, 1, 5, 2], [2, 13, 3, 14], [14, 3, 15, 4], [8, 5, 9, 6], [6, 11, 7, 12], [12, 7, 13, 8]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_15_mirror,"[[12, 7, 13, 8], [6, 11, 7, 12], [8, 5, 9, 6], [14, 3, 15, 4], [2, 13, 3, 14], [4, 1, 5, 2], [0, 9, 1, 10], [10, 15, 11, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_16,"[[15, 11, 0, 10], [5, 0, 6, 1], [1, 8, 2, 9], [13, 3, 14, 2], [3, 15, 4, 14], [9, 4, 10, 5], [11, 7, 12, 6], [7, 13, 8, 12]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_16_mirror,"[[7, 13, 8, 12], [11, 7, 12, 6], [9, 4, 10, 5], [3, 15, 4, 14], [13, 3, 14, 2], [1, 8, 2, 9], [5, 0, 6, 1], [15, 11, 0, 10]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_17,"[[15, 6, 0, 7], [11, 1, 12, 0], [1, 9, 2, 8], [13, 2, 14, 3], [3, 14, 4, 15], [9, 5, 10, 4], [5, 11, 6, 10], [7, 12, 8, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_17_mirror,"[[7, 12, 8, 13], [5, 11, 6, 10], [9, 5, 10, 4], [3, 14, 4, 15], [13, 2, 14, 3], [1, 9, 2, 8], [11, 1, 12, 0], [15, 6, 0, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_18,"[[10, 15, 11, 0], [0, 6, 1, 5], [12, 2, 13, 1], [2, 7, 3, 8], [14, 3, 15, 4], [4, 10, 5, 9], [6, 11, 7, 12], [8, 14, 9, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_18_mirror,"[[8, 14, 9, 13], [6, 11, 7, 12], [4, 10, 5, 9], [14, 3, 15, 4], [2, 7, 3, 8], [12, 2, 13, 1], [0, 6, 1, 5], [10, 15, 11, 0]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_19,"[[15, 5, 0, 4], [5, 1, 6, 0], [10, 2, 11, 1], [2, 14, 3, 13], [3, 9, 4, 8], [11, 7, 12, 6], [7, 13, 8, 12], [14, 10, 15, 9]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_19_mirror,"[[14, 10, 15, 9], [7, 13, 8, 12], [11, 7, 12, 6], [3, 9, 4, 8], [2, 14, 3, 13], [10, 2, 11, 1], [5, 1, 6, 0], [15, 5, 0, 4]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_20,"[[15, 6, 0, 7], [0, 11, 1, 12], [8, 1, 9, 2], [13, 2, 14, 3], [3, 14, 4, 15], [9, 5, 10, 4], [5, 11, 6, 10], [12, 8, 13, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_20_mirror,"[[12, 8, 13, 7], [5, 11, 6, 10], [9, 5, 10, 4], [3, 14, 4, 15], [13, 2, 14, 3], [8, 1, 9, 2], [0, 11, 1, 12], [15, 6, 0, 7]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_21,"[[6, 0, 7, 15], [0, 11, 1, 12], [1, 9, 2, 8], [13, 2, 14, 3], [3, 14, 4, 15], [4, 9, 5, 10], [10, 5, 11, 6], [7, 12, 8, 13]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
K_8_21_mirror,"[[7, 12, 8, 13], [10, 5, 11, 6], [4, 9, 5, 10], [3, 14, 4, 15], [13, 2, 14, 3], [1, 9, 2, 8], [0, 11, 1, 12], [6, 0, 7, 15]]",,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
