file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
RCEC71H106K3A2H03B_DC0V_25degC_series.s2p,S21,0.0047501690489375,0.0047505548250333,-0.0081213129835031,passive,1e-07,0.1,RCEC
RCEC71H106K3DBH03A_DC0V_25degC_series.s2p,S21,0.0047501690489375,0.0047505548250333,-0.0081213129835031,passive,1e-07,0.1,RCEC
RCEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0047449103443913,0.0047450109770322,-0.002120854422335,passive,1e-07,0.1,RCEC
RCEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0047449103443913,0.0047450109770322,-0.002120854422335,passive,1e-07,0.1,RCEC
RCEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,0.0020578517550061,0.00204227159095,0.7571081842137882,passive,1e-07,0.1,RCEC
RCEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,0.0020578517550061,0.00204227159095,0.7571081842137882,passive,1e-07,0.1,RCEC
RCEC71H475K2A2H03B_DC0V_25degC_series.s2p,S21,0.0086366308456393,0.0086626489103491,-0.3012524811442615,passive,1e-07,0.1,RCEC
RCEC71H475K2DBH03A_DC0V_25degC_series.s2p,S21,0.0086366308456393,0.0086626489103491,-0.3012524811442615,passive,1e-07,0.1,RCEC
RCEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,0.0086544272835683,0.0086807911771264,-0.3046289799916725,passive,1e-07,0.1,RCEC
RCEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,0.0086544272835683,0.0086807911771264,-0.3046289799916725,passive,1e-07,0.1,RCEC
RCEC72A475K3A3H03B_DC0V_25degC_series.s2p,S21,0.0084954743428334,0.0085210378558542,-0.3009074242263849,passive,1e-07,0.1,RCEC
RCEC72A475K3DNH03A_DC0V_25degC_series.s2p,S21,0.0084954743428334,0.0085210378558542,-0.3009074242263849,passive,1e-07,0.1,RCEC
RCEC72A475K3K1H03B_DC0V_25degC_series.s2p,S21,0.0085098480175949,0.0085356877656878,-0.3036452359600191,passive,1e-07,0.1,RCEC
RCEC72A475K3M1H03A_DC0V_25degC_series.s2p,S21,0.0085098480175949,0.0085356877656878,-0.3036452359600191,passive,1e-07,0.1,RCEC
RCEC72A475MWK1H03B_DC0V_25degC_series.s2p,S21,0.0089824237899565,0.0090081951520305,-0.2869087751437233,passive,1e-07,0.1,RCEC
RCEC72A475MWM1H03A_DC0V_25degC_series.s2p,S21,0.0089824237899565,0.0090081951520305,-0.2869087751437233,passive,1e-07,0.1,RCEC
RCER71E106K3A2H03B_DC0V_25degC_series.s2p,S21,0.0046650331738362,0.0046645953110461,0.0093860595168444,passive,1e-07,0.1,RCER
RCER71E106K3DBH03A_DC0V_25degC_series.s2p,S21,0.0046650331738362,0.0046645953110461,0.0093860595168444,passive,1e-07,0.1,RCER
RCER71E106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0046595210887591,0.004658795773598,0.0155663027859763,passive,1e-07,0.1,RCER
RCER71E106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0046595210887591,0.004658795773598,0.0155663027859763,passive,1e-07,0.1,RCER
RCER71E226MWK1H03B_DC0V_25degC_series.s2p,S21,0.0021690499820573,0.0021538213949746,0.7020855770330158,passive,1e-07,0.1,RCER
RCER71E226MWM1H03A_DC0V_25degC_series.s2p,S21,0.0021690499820573,0.0021538213949746,0.7020855770330158,passive,1e-07,0.1,RCER
RCER71E335K2M1H03A_DC0V_25degC_series.s2p,S21,0.0105450005590093,0.0105651530380786,-0.1911093219626932,passive,1e-07,0.1,RCER
RCER71E475K2A2H03B_DC0V_25degC_series.s2p,S21,0.0085001028360549,0.008526321921399,-0.3084560957648062,passive,1e-07,0.1,RCER
RCER71E475K2DBH03A_DC0V_25degC_series.s2p,S21,0.0085001028360549,0.008526321921399,-0.3084560957648062,passive,1e-07,0.1,RCER
RCER71E475K2K1H03B_DC0V_25degC_series.s2p,S21,0.0085171347825757,0.0085436733010804,-0.3115897444637247,passive,1e-07,0.1,RCER
RCER71E475K2M1H03A_DC0V_25degC_series.s2p,S21,0.0085171347825757,0.0085436733010804,-0.3115897444637247,passive,1e-07,0.1,RCER
RCER71H106MWK1H03B_DC0V_25degC_series.s2p,S21,0.0049998437955751,0.0050029781283503,-0.0626886139508723,passive,1e-07,0.1,RCER
RCER71H106MWM1H03A_DC0V_25degC_series.s2p,S21,0.0049998437955751,0.0050029781283503,-0.0626886139508723,passive,1e-07,0.1,RCER
RCER71H335K3A2H03B_DC0V_25degC_series.s2p,S21,0.0107103528283045,0.0107292592331192,-0.1765245750327128,passive,1e-07,0.1,RCER
RCER71H335K3DBH03A_DC0V_25degC_series.s2p,S21,0.0107103528283045,0.0107292592331192,-0.1765245750327128,passive,1e-07,0.1,RCER
RCER71H335K3K1H03B_DC0V_25degC_series.s2p,S21,0.0106451363450132,0.0106648465046273,-0.1851564787448901,passive,1e-07,0.1,RCER
RCER71H335K3M1H03A_DC0V_25degC_series.s2p,S21,0.0106451363450132,0.0106648465046273,-0.1851564787448901,passive,1e-07,0.1,RCER
RCER71H475K3A2H03B_DC0V_25degC_series.s2p,S21,0.0083690786060714,0.008394597125664,-0.3049143256240437,passive,1e-07,0.1,RCER
RCER71H475K3DBH03A_DC0V_25degC_series.s2p,S21,0.0083690786060714,0.008394597125664,-0.3049143256240437,passive,1e-07,0.1,RCER
RCER71H475K3K1H03B_DC0V_25degC_series.s2p,S21,0.0083826984676905,0.0084084699525191,-0.3074366199374643,passive,1e-07,0.1,RCER
RCER71H475K3M1H03A_DC0V_25degC_series.s2p,S21,0.0083826984676905,0.0084084699525191,-0.3074366199374643,passive,1e-07,0.1,RCER
RDEC71E106K2K1H03B_DC0V_25degC_series.s2p,S21,0.0048022965809858,0.0048030808490676,-0.0163311046810793,passive,1e-07,0.1,RDEC
RDEC71E106K2M1H03A_DC0V_25degC_series.s2p,S21,0.0048022965809858,0.0048030808490676,-0.0163311046810793,passive,1e-07,0.1,RDEC
RDEC71E106K2P1H03B_DC0V_25degC_series.s2p,S21,0.0048053211549304,0.0048062747751424,-0.0198450880026437,passive,1e-07,0.1,RDEC
RDEC71E106K2S1H03A_DC0V_25degC_series.s2p,S21,0.0048053211549304,0.0048062747751424,-0.0198450880026437,passive,1e-07,0.1,RDEC
RDEC71E226K3K1H03B_DC0V_25degC_series.s2p,S21,0.0025652186197425,0.0025511894759426,0.546898564194609,passive,1e-07,0.1,RDEC
RDEC71E226K3M1H03A_DC0V_25degC_series.s2p,S21,0.0025652186197425,0.0025511894759426,0.546898564194609,passive,1e-07,0.1,RDEC
RDEC71E226K3P1H03B_DC0V_25degC_series.s2p,S21,0.0025697054210152,0.0025557674069218,0.5423973494964714,passive,1e-07,0.1,RDEC
RDEC71E226K3S1H03A_DC0V_25degC_series.s2p,S21,0.0025697054210152,0.0025557674069218,0.5423973494964714,passive,1e-07,0.1,RDEC
RDEC71E475K2K1H03B_DC0V_25degC_series.s2p,S21,0.0084883697318854,0.0085145435240624,-0.3083488703219511,passive,1e-07,0.1,RDEC
RDEC71E475K2M1H03A_DC0V_25degC_series.s2p,S21,0.0084883697318854,0.0085145435240624,-0.3083488703219511,passive,1e-07,0.1,RDEC
RDEC71E475K2P1H03B_DC0V_25degC_series.s2p,S21,0.0084800722970669,0.0085060861387919,-0.3067643861244561,passive,1e-07,0.1,RDEC
RDEC71E475K2S1H03A_DC0V_25degC_series.s2p,S21,0.0084800722970669,0.0085060861387919,-0.3067643861244561,passive,1e-07,0.1,RDEC
RDEC71E476MWK1H03B_DC0V_25degC_series.s2p,S21,0.0009480496580678,0.0009385720630301,0.999693946099362,passive,1e-07,0.1,RDEC
RDEC71E476MWM1H03A_DC0V_25degC_series.s2p,S21,0.0009480496580678,0.0009385720630301,0.999693946099362,passive,1e-07,0.1,RDEC
RDEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0048678711636029,0.004869273245734,-0.0288027781334842,passive,1e-07,0.1,RDEC
RDEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0048678711636029,0.004869273245734,-0.0288027781334842,passive,1e-07,0.1,RDEC
RDEC71H106K3P1H03B_DC0V_25degC_series.s2p,S21,0.0048699548218115,0.0048714693469032,-0.0310993663628817,passive,1e-07,0.1,RDEC
RDEC71H106K3S1H03A_DC0V_25degC_series.s2p,S21,0.0048699548218115,0.0048714693469032,-0.0310993663628817,passive,1e-07,0.1,RDEC
RDEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,0.0020578517550061,0.00204227159095,0.7571081842137882,passive,1e-07,0.1,RDEC
RDEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,0.0020578517550061,0.00204227159095,0.7571081842137882,passive,1e-07,0.1,RDEC
RDEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,0.0085346761025089,0.0085612410621338,-0.3112591421840725,passive,1e-07,0.1,RDEC
RDEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,0.0085346761025089,0.0085612410621338,-0.3112591421840725,passive,1e-07,0.1,RDEC
RDEC71H475K2P1H03B_DC0V_25degC_series.s2p,S21,0.0085264102040661,0.0085528147914978,-0.3096800036557469,passive,1e-07,0.1,RDEC
RDEC71H475K2S1H03A_DC0V_25degC_series.s2p,S21,0.0085264102040661,0.0085528147914978,-0.3096800036557469,passive,1e-07,0.1,RDEC
RDEC72A475K3K1H03B_DC0V_25degC_series.s2p,S21,0.0085160223056455,0.0085418611824005,-0.3034148552890517,passive,1e-07,0.1,RDEC
RDEC72A475K3M1H03A_DC0V_25degC_series.s2p,S21,0.0085160223056455,0.0085418611824005,-0.3034148552890517,passive,1e-07,0.1,RDEC
RDEC72A475K3P1H03B_DC0V_25degC_series.s2p,S21,0.0085105656160614,0.0085362941286577,-0.3023126047896687,passive,1e-07,0.1,RDEC
RDEC72A475K3S1H03A_DC0V_25degC_series.s2p,S21,0.0085105656160614,0.0085362941286577,-0.3023126047896687,passive,1e-07,0.1,RDEC
RDEC72A475MWK1H03B_DC0V_25degC_series.s2p,S21,0.0089824237899565,0.0090081951520305,-0.2869087751437233,passive,1e-07,0.1,RDEC
RDEC72A475MWM1H03A_DC0V_25degC_series.s2p,S21,0.0089824237899565,0.0090081951520305,-0.2869087751437233,passive,1e-07,0.1,RDEC
RDER71H335K3K1H03B_DC0V_25degC_series.s2p,S21,0.0106451312091084,0.0106648413449518,-0.1851563447768183,passive,1e-07,0.1,RDER
RDER71H335K3M1H03A_DC0V_25degC_series.s2p,S21,0.0106451312091084,0.0106648413449518,-0.1851563447768183,passive,1e-07,0.1,RDER
RDER71H335K3P1H03B_DC0V_25degC_series.s2p,S21,0.0105579175402586,0.0105779481514165,-0.1897212313084197,passive,1e-07,0.1,RDER
RDER71H335K3S1H03A_DC0V_25degC_series.s2p,S21,0.0105579175402586,0.0105779481514165,-0.1897212313084197,passive,1e-07,0.1,RDER
RHEL81E106K3A2H03B_DC0V_25degC_series.s2p,S21,0.0046650283236644,0.004664590430152,0.0093867278398089,passive,1e-07,0.1,RHEL
RHEL81E106K3DBH03A_DC0V_25degC_series.s2p,S21,0.0046650283236644,0.004664590430152,0.0093867278398089,passive,1e-07,0.1,RHEL
RHEL81E106K3K1H03B_DC0V_25degC_series.s2p,S21,0.0046595189656134,0.0046587936285544,0.0155667798406993,passive,1e-07,0.1,RHEL
RHEL81E106K3M1H03A_DC0V_25degC_series.s2p,S21,0.0046595189656134,0.0046587936285544,0.0155667798406993,passive,1e-07,0.1,RHEL
RHEL81E226MWK1H03B_DC0V_25degC_series.s2p,S21,0.0021690499820573,0.0021538213949746,0.7020855770330158,passive,1e-07,0.1,RHEL
RHEL81E226MWM1H03A_DC0V_25degC_series.s2p,S21,0.0021690499820573,0.0021538213949746,0.7020855770330158,passive,1e-07,0.1,RHEL
RHEL81H106MWK1H03B_DC0V_25degC_series.s2p,S21,0.0050080495180791,0.0050110572204783,-0.0600573614214662,passive,1e-07,0.1,RHEL
RHEL81H106MWM1H03A_DC0V_25degC_series.s2p,S21,0.0050080495180791,0.0050110572204783,-0.0600573614214662,passive,1e-07,0.1,RHEL
RHEL81H335K3A2H03B_DC0V_25degC_series.s2p,S21,0.0104398687059747,0.0104600672423734,-0.1934750040211924,passive,1e-07,0.1,RHEL
RHEL81H335K3DBH03A_DC0V_25degC_series.s2p,S21,0.0104398687059747,0.0104600672423734,-0.1934750040211924,passive,1e-07,0.1,RHEL
RHEL81H335K3K1H03B_DC0V_25degC_series.s2p,S21,0.0106451312091084,0.0106648413449518,-0.1851563447768183,passive,1e-07,0.1,RHEL
RHEL81H335K3M1H03A_DC0V_25degC_series.s2p,S21,0.0106451312091084,0.0106648413449518,-0.1851563447768183,passive,1e-07,0.1,RHEL
RHEL81H475K3A2H03B_DC0V_25degC_series.s2p,S21,0.0083690786060714,0.008394597125664,-0.3049143256240437,passive,1e-07,0.1,RHEL
RHEL81H475K3DBH03A_DC0V_25degC_series.s2p,S21,0.0083690786060714,0.008394597125664,-0.3049143256240437,passive,1e-07,0.1,RHEL
RHEL81H475K3K1H03B_DC0V_25degC_series.s2p,S21,0.0083826984676905,0.0084084699525191,-0.3074366199374643,passive,1e-07,0.1,RHEL
RHEL81H475K3M1H03A_DC0V_25degC_series.s2p,S21,0.0083826984676905,0.0084084699525191,-0.3074366199374643,passive,1e-07,0.1,RHEL
